Identificador;Fecha reporte;Localidad;Barrio;Upz;Dirección;Tipo de afectación
5407677;3/12/2022;14 Los Martires;VOTO NACIONAL;N/A;CL 11 15A 25;Incendio Estructuras
5407678;3/12/2022;5 Usme;MONTEBLANCO;N/A;CL 97 SUR 14 8;Animales Peligrosos
5407679;3/12/2022;2 Chapinero;CHICO RESERVADO II SECTOR;N/A;CL 99 14 49;Animales Peligrosos
5407680;3/12/2022;13 Teusaquillo;FLORIDA - PANAMERICANO;N/A;AK 30 25 90;Conato de incendio
5407681;3/12/2022;5 Usme;LA AURORA_;N/A;DG 68A SUR 14M 24;Daño en redes de servicio públicos acueducto
5407682;3/12/2022;7 Bosa;PARQUES DE BOGOTA;N/A;TV 95A 85 SUR 80;Daño en redes de servicio públicos acueducto
5407683;3/12/2022;9 Fontibon;VERSALLES FONTIBON;N/A;CL 22 108 0;Daño en redes de servicio públicos energía
5407684;3/12/2022;4 San Cristobal;SAN RAFAEL SUR ORIENTAL;N/A;CL 58 SUR KR 15 A;Caida de árbol - Caída de ramas
5407685;3/12/2022;19 Ciudad Bolivar;SANTO DOMINGO;N/A;CL 67 SUR 77A 64;Daño en redes de servicio públicos alcantarillado
5407686;3/12/2022;8 Kennedy;DINDALITO;N/A;KR 89C 42A SUR 0;Daño en redes de servicio públicos alcantarillado
5407687;3/12/2022;3 Santa Fe;LA ALAMEDA;N/A;KR 13 24A 23;Incendio Estructuras
5407688;3/12/2022;18 Rafael Uribe Uribe;QUIROGA;N/A;KR 24 31C SUR 12;Daño en redes de servicio públicos gas
5407689;3/12/2022;2 Chapinero;CHAPINERO CENTRAL;N/A;KR 9 57 19;Daño en redes de servicio públicos gas
5407690;3/12/2022;3 Santa Fe;SAN_BERNARDO;N/A;DG 2 13 7;Daño en redes de servicio públicos energía
5407691;3/12/2022;10 Engativa;EL LUJAN;N/A;CL 64F 73B 19;Daño en redes de servicio públicos energía
5407692;3/12/2022;7 Bosa;EL PORVENIR SECTOR INDUCAS;N/A;KR 91 50A SUR 35;Quemas
